Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
95.0,40.0,5.0,10.0,0.13489857587895066,0.0,-0.0029036963456698095,0.0028624052972611724,0.005092274533157887,65.23141967063327,0.00046593871193332284
95.0,60.0,10.0,15.0,0.13675464278499813,0.0,-0.0012308071401549484,0.006036072384545121,0.0007123906418280794,71.06188135483221,0.0005075848668198831
24.0,70.0,10.0,10.0,0.13692738965581366,-0.002546720457437662,-0.0006250167262549153,0.009513172084797544,-1.3056844917480603e-05,38.12658672063679,0.000678576913895969
95.0,70.0,10.0,30.0,0.13728153066515233,0.0,-0.0014444509246096247,0.00361670107883752,0.0010825416366704033,68.64076533256852,0.0004902911809469279
24.0,70.0,10.0,15.0,0.13882112758114812,-0.00242587822350653,-0.0006429981448667829,0.009177243075556007,0.000548576461640767,40.72048985000187,0.0007142903349806229
95.0,60.0,10.0,20.0,0.14107205839171205,0.0,-0.001596970221994463,0.005174384667267912,0.0011020245115129362,73.78245731783777,0.0005270175522702103
24.0,70.0,10.0,20.0,0.14119575144384053,-0.002503161730747136,-0.0007417240357555326,0.008800634407244295,0.0005997327404756725,38.5951615450103,0.0007142898005966177
24.0,60.0,10.0,10.0,0.14381556927994849,-0.002138718433940777,-0.0008685307119974766,0.009656701471234819,0.000343608638531806,47.81302164307832,0.0007143045918205676
24.0,60.0,10.0,15.0,0.1462638171577222,-0.0020433955947676023,-0.0008741544226639059,0.009351602993317165,0.0004324522914197123,49.76156948491711,0.0006785871608773277
24.0,70.0,10.0,30.0,0.14841149000612516,-0.002425171732694728,-0.001030978832746562,0.007462993067852974,0.0008457021395044211,50.01086365823276,0.0007500047546947297
24.0,60.0,10.0,20.0,0.1498120933260852,-0.0021416207535774243,-0.0010615504959438082,0.008491470651496164,0.0007544081006641973,47.10962497701948,0.0007143029595189821
95.0,70.0,2.5,15.0,0.15017867610547359,0.0,-0.012033516637217335,-0.2763350436189682,0.05093879061232256,73.15593129702535,0.0005225423664072942
95.0,60.0,10.0,30.0,0.15577263017356277,0.0,-0.0022496984786582928,0.0015024272637044478,0.0021085796014597147,78.27770360487318,0.0005591264543199775
95.0,60.0,3.0,15.0,0.1572810561811277,0.0,-0.011207542746241955,-0.17121219853104924,0.03954174905521792,79.43487685913158,0.0005673919775653347
24.0,60.0,10.0,30.0,0.1617304428280317,-0.0018874746046215868,-0.0018014088130649994,0.005162876178544662,0.0016125735383646276,57.72464212933786,0.0007143254092263628
95.0,40.0,10.0,10.0,0.16754812470540498,0.0,-0.002276796668028956,0.006684080132362269,0.0012118571623523366,78.9576459497232,0.0005639831853554235
24.0,40.0,10.0,10.0,0.16963254943360984,-0.0011017727965691518,-0.002036754747620634,0.008752622571118335,0.0012697038873923927,72.51867905623126,0.0007158594820153712
95.0,40.0,10.0,15.0,0.1761739787370111,0.0,-0.0030284901194246178,0.00503157568961049,0.002361102002870023,85.7294300424305,0.0006123530717309425
24.0,40.0,10.0,15.0,0.17735689728530543,-0.000707866219372295,-0.00270632445052741,0.007062805199214567,0.001987704172675131,81.73719435391884,0.0006815581235725517
95.0,40.0,5.0,15.0,0.1900522250130273,0.0,-0.010807015230754023,-0.04866889315316897,0.02252379559537101,100.02748684896366,0.0007144820489210897
95.0,40.0,10.0,20.0,0.19086713395638097,0.0,-0.004211579196642841,0.002068097758457371,0.0038574131546773027,97.84712950598878,0.0006989080678999793
24.0,40.0,10.0,20.0,0.19105299091732472,-0.0002077163429090497,-0.00410509857329544,0.002534213508177674,0.0035960186804581684,90.11847980647802,0.0006944827099621627
95.0,40.0,3.0,10.0,0.192550141506589,0.0,-0.0204986724889053,-0.2097859237415308,0.07194452896348819,95.32185223097011,0.0006808703730784074
95.0,70.0,5.0,30.0,0.21236121770794206,0.0,-0.016981817749498036,-0.1959530821154995,0.035970925957118885,104.50847328148521,0.000746489094867573
95.0,40.0,10.0,30.0,0.26874051466753773,0.0,-0.015210837916816017,-0.034174951850704516,0.015838131927610098,133.36998246531726,0.0009526427318948061
