Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
24.0,60.0,7.5,20.0,0.13145584405836036,-0.001022864187455915,-0.0014077263204261468,0.00552943708301834,0.001688577345963227,53.809457531771294,0.0005374153457353029
24.0,50.0,7.5,10.0,0.13163273492584293,-0.0007922625905568022,-0.0014293896867966227,0.008166090607002649,0.0009556816149057512,60.42542555951824,0.00050572156500133
95.0,60.0,5.0,20.0,0.13246260759746256,0.0,-0.0033687124901084684,-0.013540033807305785,0.00689276527145892,64.30223669779411,0.0004593016906984996
95.0,70.0,7.5,30.0,0.13323829742130053,0.0,-0.002031156170686836,-0.00155420624497693,0.002668127727867657,68.35920110235399,0.000488280007873848
95.0,60.0,10.0,10.0,0.13399363715361798,0.0,-0.0010782700557464275,0.006265973105291228,-0.0003232126507886346,67.93086801195058,0.00048522048579976594
95.0,40.0,5.0,10.0,0.13489857587895066,0.0,-0.0029036963456698095,0.0028624052972611724,0.005092274533157887,65.23141967063327,0.00046593871193332284
24.0,70.0,7.5,30.0,0.13519562509928135,-0.0008749129814169278,-0.0017648356048788733,0.0007644480994173364,0.0021464312081187027,56.956860404891444,0.0005366635209532098
24.0,70.0,10.0,10.0,0.13692738965581366,-0.002546720457437662,-0.0006250167262549153,0.009513172084797544,-1.3056844917480603e-05,38.12658672063679,0.000678576913895969
95.0,70.0,10.0,30.0,0.13728153066515233,0.0,-0.0014444509246096247,0.00361670107883752,0.0010825416366704033,68.64076533256852,0.0004902911809469279
95.0,50.0,2.5,10.0,0.13827677437172142,0.0,-0.008763143118661554,-0.12130194116903192,0.03734624407094447,70.16385897079535,0.0005011704212200759
95.0,60.0,10.0,20.0,0.14107205839171205,0.0,-0.001596970221994463,0.005174384667267912,0.0011020245115129362,73.78245731783777,0.0005270175522702103
24.0,70.0,10.0,20.0,0.14119575144384053,-0.002503161730747136,-0.0007417240357555326,0.008800634407244295,0.0005997327404756725,38.5951615450103,0.0007142898005966177
24.0,60.0,10.0,10.0,0.14381556927994849,-0.002138718433940777,-0.0008685307119974766,0.009656701471234819,0.000343608638531806,47.81302164307832,0.0007143045918205676
95.0,50.0,10.0,10.0,0.1478732180514552,0.0,-0.0016235847523138058,0.006718639041173036,0.0006984202285477414,74.18388865452901,0.0005298849189611892
24.0,70.0,10.0,30.0,0.14841149000612516,-0.002425171732694728,-0.001030978832746562,0.007462993067852974,0.0008457021395044211,50.01086365823276,0.0007500047546947297
95.0,40.0,7.5,10.0,0.14963082344057949,0.0,-0.0023393548319701127,0.007198382228483421,0.00197965769266617,73.78245731784055,0.00052701755227024
24.0,40.0,7.5,10.0,0.14964872432838144,0.00017349530703238136,-0.002357367495389069,0.0073068236174193375,0.0017771597631256741,74.93290347895115,0.0005612808220432027
24.0,60.0,10.0,20.0,0.1498120933260852,-0.0021416207535774243,-0.0010615504959438082,0.008491470651496164,0.0007544081006641973,47.10962497701948,0.0007143029595189821
95.0,70.0,15.0,10.0,0.1503371021139472,0.0,-0.0010989316292670762,0.005159779517290575,0.0004300500055468004,72.6266193786032,0.0005187615669908258
95.0,50.0,7.5,20.0,0.151988749139149,0.0,-0.0029773645542217897,0.0005454434146921299,0.0036208973820337637,76.50440392919788,0.0005464600280649656
40.0,70.0,15.0,10.0,0.15200784026871053,-0.0005479120180561237,-0.0009677185487868516,0.005764963479905442,-9.290501019595943e-05,62.93419990882204,0.0006116439650540931
24.0,50.0,7.5,20.0,0.15207011830559813,5.896749583703583e-05,-0.0028765214609306755,0.0006624358336361954,0.003574972084431638,75.93421456107696,0.0005453824079745916
95.0,70.0,15.0,20.0,0.15261223982771008,0.0,-0.0011754823077708301,0.004488932148424274,0.00037455937470599887,74.80992148421738,0.0005343565820297574
24.0,50.0,10.0,10.0,0.15374893518158386,-0.0018738847536083764,-0.0012260530636105105,0.0088755936068724,0.000625850664133093,54.03431823493148,0.0007143900780881463
40.0,70.0,15.0,20.0,0.15418911802617102,-0.0005464739970279658,-0.0009817501408703505,0.005698297260778584,0.00025318002231239367,67.57446972012886,0.0006107642147973026
95.0,60.0,10.0,30.0,0.15577263017356277,0.0,-0.0022496984786582928,0.0015024272637044478,0.0021085796014597147,78.27770360487318,0.0005591264543199775
95.0,70.0,15.0,30.0,0.15698617508077775,0.0,-0.0013381896544831437,0.003975386136986133,0.0005674815856699749,76.6534058011331,0.0005475243271510895
40.0,70.0,15.0,30.0,0.15820500746844698,-0.0004073863434285452,-0.0011658761252376715,0.004889561416904683,0.00040914019336503,72.88449731212842,0.0006115828352242245
95.0,50.0,10.0,20.0,0.15970242735860055,0.0,-0.002270384599079578,0.004071166406300203,0.0018193629736119876,77.1170632547266,0.0005508361661057254
24.0,60.0,10.0,30.0,0.1617304428280317,-0.0018874746046215868,-0.0018014088130649994,0.005162876178544662,0.0016125735383646276,57.72464212933786,0.0007143254092263628
24.0,60.0,7.5,30.0,0.16226110236197294,-5.0689352842451615e-05,-0.004154879032043715,-0.011311278340774463,0.005481595456278734,83.70964460403945,0.0005709128369358467
95.0,60.0,7.5,30.0,0.1622754627937108,0.0,-0.0041365367553729045,-0.011275510808819722,0.005547146945036839,81.83921034261992,0.0005845657881617196
95.0,60.0,15.0,10.0,0.16254707287730377,0.0,-0.0013520837934157214,0.005320742955213417,0.0009599481818019229,80.46884795924885,0.0005747774854217984
40.0,60.0,15.0,10.0,0.16312461029474828,-0.00022361833287389,-0.0013678343179483743,0.005760670779732987,0.00023850437663008872,78.48152585575862,0.0006336482916792705
24.0,50.0,10.0,20.0,0.16381339645621085,-0.0017386186719595825,-0.0019130027019281515,0.007267700015926998,0.0013674105603121017,66.58944978414348,0.0007144612151415766
95.0,60.0,15.0,20.0,0.16622328588720023,0.0,-0.0016252885248116875,0.004816344528329279,0.0004302109680520694,80.84790169602812,0.0005774850121150219
40.0,60.0,15.0,20.0,0.1665114607001302,-0.00028820408424886507,-0.0014106662738420928,0.0051167010794490415,0.00035455189032647383,75.85905131839432,0.0005988222014332043
95.0,40.0,10.0,10.0,0.16754812470540498,0.0,-0.002276796668028956,0.006684080132362269,0.0012118571623523366,78.9576459497232,0.0005639831853554235
