Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
24.0,60.0,10.0,20.0,0.13978978181908916,-0.0026298398932124434,-0.0008992595423146464,0.00829297897390488,0.0008535307759574562,50.86219229902439,0.0007142859169638669
95.0,60.0,3.0,15.0,0.14065268862527947,0.0,-0.010014455859894389,-0.1526376829008765,0.03512054011861073,92.67402300233532,0.0005295658457276503
24.0,60.0,10.0,30.0,0.14978460119415568,-0.0025513303305511074,-0.0014911984036391351,0.006429730676009715,0.0013567679480202175,58.980676039278514,0.0007500004390224657
95.0,40.0,10.0,10.0,0.14986161201265757,0.0,-0.001975062264269814,0.006311891066958231,0.001584024672239559,98.69705743727717,0.0005639831853554235
24.0,40.0,10.0,10.0,0.1551958049319583,-0.0017437624813835865,-0.001582926591347858,0.008984098689388542,0.001016248230938377,77.74137913527967,0.0007143063964662268
95.0,40.0,10.0,15.0,0.15759926889450773,0.0,-0.002803916112627293,0.005213433997094535,0.0022398343043765943,98.23163858997673,0.0005613236490867213
24.0,40.0,10.0,15.0,0.16164522368808085,-0.0014984581751139453,-0.0021740656630077,0.007208718166990952,0.0018612592938899164,78.42475455202903,0.000714325170268095
95.0,40.0,5.0,15.0,0.17004672764323725,0.0,-0.009779533570171833,-0.04378814519042068,0.019783689738012516,104.19529880101133,0.0005954017074342415
95.0,40.0,10.0,20.0,0.1706453938584746,0.0,-0.003897565398712187,0.0013695228458719677,0.0032293408627094566,106.00105696468609,0.0006057203255133147
95.0,40.0,3.0,10.0,0.1722148130306473,0.0,-0.018356098750428144,-0.18650549599196672,0.06496002126857789,105.91316914549881,0.0006052181094030289
24.0,40.0,10.0,20.0,0.17286741926973467,-0.0012250427498465555,-0.0033047248088980546,0.004341224909663738,0.002827906152485793,92.54911275239154,0.0007144885912852798
95.0,70.0,5.0,30.0,0.18989189595242797,0.0,-0.015269261460048368,-0.1740674113793872,0.03232312126979461,124.1038120217471,0.00070916464012419
95.0,40.0,10.0,30.0,0.24039939339366792,0.0,-0.013720250797044468,-0.030988607027484794,0.014221050244058408,152.81977157475046,0.0008732558375702307
